"id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15"
2624300080,"20140724T000000",825000,3,3,3730,35900,1,0,0,3,9,2960,770,1979,0,98008,47.5814,-122.122,2280,16026
4099100260,"20140903T000000",589000,3,2.5,2940,4799,1,0,0,3,9,1710,1230,1996,0,98033,47.6681,-122.184,2540,4616
1525059160,"20140731T000000",1225000,4,2.75,3410,95396,1.5,0,0,4,10,3410,0,1962,0,98005,47.6547,-122.158,3721,35352
5561300480,"20150408T000000",600000,7,2.25,3170,36384,2,0,0,3,8,3170,0,1969,0,98027,47.4654,-122.003,2460,38370
2597670470,"20140813T000000",330000,4,2.5,2080,7000,1,0,0,4,8,1400,680,1989,0,98058,47.4252,-122.163,2090,7082
7861500150,"20141202T000000",389900,3,2.5,2160,59241,1,0,0,3,7,2160,0,2007,0,98042,47.3304,-122.13,2290,125017
5379804537,"20140826T000000",270000,3,2.25,1760,8287,1,0,0,3,7,1160,600,1986,0,98188,47.4501,-122.274,1290,9587
4140500180,"20140604T000000",545000,5,2.5,2730,17240,1,0,0,5,7,1660,1070,1958,0,98028,47.7646,-122.267,2250,13200
4218400175,"20150223T000000",1265000,3,1.75,2240,5657,1.5,0,2,4,8,1910,330,1941,0,98105,47.6621,-122.27,2970,5657
3330501545,"20141201T000000",330000,2,1,950,3090,1,0,0,4,6,950,0,1909,0,98118,47.551,-122.276,1230,4120
1446403305,"20140505T000000",206000,2,1,810,7158,1,0,0,5,6,810,0,1944,0,98168,47.4882,-122.325,1090,7158
7625702263,"20140612T000000",402000,3,3.5,1240,1666,2,0,0,3,7,1000,240,2008,0,98136,47.5496,-122.388,1110,1027
742000060,"20141230T000000",1200000,3,2,2480,13310,1,0,0,2,7,2480,0,1955,0,98052,47.6759,-122.114,2400,11340
8165500780,"20141209T000000",338000,3,2.5,1690,1760,2,0,0,3,8,1410,280,2014,0,98106,47.5387,-122.367,1740,1760
2473100635,"20140508T000000",297950,3,2,1240,10800,1,0,0,3,7,1240,0,1967,2010,98058,47.449,-122.155,1480,8840
1525059112,"20141018T000000",1008000,3,2.5,2240,41339,1,0,0,4,9,2240,0,1945,1992,98005,47.6483,-122.163,2900,45738
5288200072,"20141001T000000",427000,2,1.5,1440,725,2,0,0,3,8,1100,340,2011,0,98126,47.5607,-122.378,1440,4255
9358001732,"20150428T000000",400000,3,2.5,1390,2815,2,0,0,3,8,1390,0,1999,0,98126,47.566,-122.366,1390,3700
2972300140,"20140821T000000",352500,3,2,1920,33630,1,0,0,3,8,1920,0,1992,0,98056,47.4983,-122.167,2080,7505
6064800060,"20150506T000000",330000,3,2.25,1960,1985,2,0,0,3,7,1750,210,2003,0,98118,47.5417,-122.289,1760,1985
3364900156,"20150317T000000",382888,1,1,620,2380,1,0,0,3,6,620,0,1900,0,98115,47.6746,-122.326,980,3570
2490200055,"20140801T000000",560000,3,3.5,2270,4088,2,0,0,3,8,1880,390,1996,0,98136,47.5356,-122.384,1760,5425
7276100282,"20140729T000000",320000,3,1.75,2300,12000,1,0,0,3,8,1770,530,1942,0,98133,47.7599,-122.343,2030,6000
3342103281,"20141020T000000",500000,4,1,1160,20100,1,0,0,4,6,820,340,1913,0,98056,47.5175,-122.201,1670,10200
5095400040,"20140605T000000",270000,3,1,1500,13500,1,0,0,4,7,1500,0,1968,0,98059,47.4666,-122.072,1350,13680
3306200240,"20141125T000000",218000,4,1,1640,10455,1,0,0,3,7,950,690,1963,0,98023,47.2974,-122.366,1360,9750
5416100190,"20140729T000000",346290,4,2.75,2690,9240,2,0,0,3,8,2690,0,1998,0,98022,47.1896,-122.014,2640,9240
1657530180,"20141204T000000",294500,3,2.5,1760,2688,2,0,0,3,7,1760,0,2005,0,98059,47.4903,-122.166,1760,2329
2719100355,"20141104T000000",660000,3,2.25,2280,6150,2,0,2,3,8,2280,0,1984,0,98136,47.5423,-122.385,1920,6150
1761300110,"20140702T000000",260000,4,2,1620,7992,2,0,0,4,7,1620,0,1975,0,98031,47.395,-122.176,1710,7500
421000465,"20140617T000000",269500,2,1.5,1480,7276,1,0,0,4,6,940,540,1978,0,98056,47.4942,-122.166,1090,6710
3034200198,"20140603T000000",689800,3,2.75,2390,9313,1,0,0,5,8,1390,1000,1942,0,98133,47.7209,-122.331,2390,12712
6843310120,"20141029T000000",535000,4,2.25,2620,33578,2,0,0,3,7,2620,0,1977,0,98075,47.5921,-122.013,2520,35160
526059259,"20140819T000000",335500,3,1.75,1260,8487,1,0,0,3,7,1260,0,1970,0,98011,47.7664,-122.201,1890,13051
7940700050,"20150218T000000",475000,3,2.5,1920,4534,2,0,0,3,8,1920,0,1986,0,98034,47.7144,-122.204,1380,5100
7137950460,"20140926T000000",272000,4,2.5,2070,6175,2,0,0,3,8,2070,0,1993,0,98092,47.3262,-122.174,1940,6175
1776230060,"20140708T000000",435000,4,2.5,2150,3143,2,0,0,3,7,2150,0,2010,0,98059,47.5048,-122.154,2640,3200
4113800500,"20150212T000000",572500,3,2.5,2490,7589,2,0,0,3,9,2490,0,1991,0,98056,47.5355,-122.179,2500,10386
3352401476,"20141124T000000",199988,2,1,860,5000,1,0,0,3,7,860,0,1949,0,98178,47.5005,-122.267,1130,6000
6064800090,"20150507T000000",365000,3,2.25,1960,1985,2,0,0,3,7,1750,210,2003,0,98118,47.5419,-122.289,1760,1985
9264901510,"20141107T000000",240000,3,1.75,1770,8571,1,0,0,3,8,1270,500,1978,0,98023,47.3109,-122.339,2120,7711
7199000290,"20140905T000000",525000,4,2,2420,10735,1.5,0,0,3,7,2420,0,1967,0,98052,47.6899,-122.122,1570,9540
9485300010,"20150213T000000",311500,4,2.5,1940,10133,2,0,0,3,8,1940,0,1992,0,98031,47.3877,-122.171,1940,7265
1459920010,"20150323T000000",300000,3,2,1451,7159,1,0,0,3,7,1451,0,2010,0,98042,47.3754,-122.163,2303,6126
6145601000,"20140711T000000",429950,4,1,1760,7216,1,0,0,3,7,1090,670,1947,0,98133,47.7041,-122.355,1180,3844
8888000055,"20141230T000000",530000,3,0.75,920,20412,1,1,2,5,6,920,0,1950,0,98070,47.4781,-122.49,1162,54705
3975400085,"20140624T000000",850000,4,3,3330,4000,1,0,0,3,8,1790,1540,1958,0,98103,47.6559,-122.344,1610,4000
5416510200,"20140929T000000",384950,4,2.5,2380,4913,2,0,0,3,8,2380,0,2006,0,98038,47.3607,-122.038,2580,5311
3459410230,"20141111T000000",590000,3,2.25,2490,8800,2,0,0,4,8,2490,0,1975,0,98006,47.5666,-122.132,2690,10000
123039336,"20140611T000000",148000,1,1,620,8261,1,0,0,3,5,620,0,1939,0,98106,47.5138,-122.364,1180,8244
4397650080,"20141015T000000",815000,3,3.75,2780,5002,2,0,0,3,10,2780,0,1999,0,98007,47.5939,-122.15,3110,5717
7787110060,"20141013T000000",432900,3,2.5,2210,9226,2,0,0,3,8,2210,0,1998,0,98045,47.4849,-121.782,2430,8902
2085200545,"20140821T000000",180000,3,1,840,5700,1,0,0,4,5,840,0,1945,0,98038,47.3948,-122.028,1430,12600
8929000350,"20140804T000000",472217,3,2.5,2010,2212,2,0,0,3,8,1390,620,2014,0,98029,47.5523,-121.998,1690,1619
2767601311,"20141024T000000",445000,3,2.5,1260,1102,3,0,0,3,8,1260,0,2007,0,98107,47.675,-122.387,1320,2500
2599001200,"20141103T000000",305000,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,0,98092,47.2909,-122.189,1590,8165
8854000410,"20150212T000000",557000,3,2.5,2280,18241,1,0,0,3,9,960,1320,1995,0,98011,47.7453,-122.213,3100,12465
6169901095,"20140815T000000",900000,4,2,1980,7200,2,0,3,3,8,1700,280,1910,0,98119,47.6318,-122.369,2490,4200
1180003090,"20140906T000000",190000,2,1,630,6000,1,0,0,3,6,630,0,1943,2005,98178,47.4973,-122.221,1470,6840
3293200190,"20141213T000000",1122500,4,3.25,4750,62365,2,0,0,3,11,4750,0,1988,0,98052,47.7149,-122.099,3300,31866
809002290,"20140519T000000",1190000,4,3,2240,6000,1.5,0,0,4,8,1270,970,1914,0,98109,47.6369,-122.35,2240,4250
1224049095,"20150204T000000",959000,6,3.25,4440,17424,1,0,1,4,9,2220,2220,1959,0,98040,47.5791,-122.23,2660,10768
2968801105,"20150304T000000",200000,2,1,950,8100,1,0,0,3,6,950,0,1955,0,98166,47.4572,-122.351,1620,7630
9551202130,"20140714T000000",980000,5,2.5,2750,6000,1.5,0,0,3,8,1750,1000,1904,1994,98103,47.6729,-122.334,1520,4158
3625049042,"20141011T000000",3635000,5,6,5490,19897,2,0,0,3,12,5490,0,2005,0,98039,47.6165,-122.236,2910,17600
5379804888,"20150421T000000",380000,4,1.75,1740,9150,1,0,0,3,7,1740,0,1974,0,98188,47.4498,-122.28,1540,9147
8163300320,"20140614T000000",850000,5,2.75,2920,11880,1,0,0,5,8,1660,1260,1968,0,98027,47.5133,-122.031,3910,14491
3623500205,"20140513T000000",2450000,4,4.5,5030,11023,2,0,2,3,11,3250,1780,2008,0,98040,47.5722,-122.236,3640,11490
3188100400,"20140603T000000",530000,3,1.75,1250,6041,1.5,0,0,5,7,1250,0,1942,0,98115,47.69,-122.304,1180,6042
792500260,"20140715T000000",430000,2,2,1440,213008,2,0,0,4,7,1440,0,1990,0,98070,47.3604,-122.457,1630,161172
777100005,"20141122T000000",1650000,3,2.25,2750,6203,1,1,4,5,7,1620,1130,1959,0,98074,47.6163,-122.068,2570,7009
6909200575,"20150314T000000",685000,3,2,2060,2900,1.5,0,0,5,8,1330,730,1931,0,98144,47.5897,-122.292,1910,3900
1626079012,"20150225T000000",439950,3,1.75,1720,223377,1,0,0,3,7,1240,480,1950,0,98019,47.7329,-121.92,2530,221442
5561401210,"20150108T000000",595000,4,3,3680,35736,1.5,0,0,4,8,2320,1360,1970,0,98027,47.4703,-122.015,3210,39512
4139380050,"20140616T000000",963000,4,3.5,3280,6603,2,0,0,3,10,3280,0,2007,0,98027,47.5642,-122.126,3280,7333
3126049261,"20150316T000000",259250,3,1,940,5904,1,0,0,3,6,940,0,1947,0,98103,47.699,-122.35,870,5728
8035650500,"20140716T000000",325000,4,2.5,2160,6825,2,0,0,3,8,2160,0,1994,0,98031,47.4111,-122.2,2020,7035
6884800262,"20140920T000000",535000,4,2,1970,3515,1,0,0,5,8,1030,940,1969,0,98115,47.6873,-122.314,1650,4275
5104450720,"20141119T000000",325000,4,2.5,2280,9899,2,0,0,3,8,2280,0,1987,0,98058,47.461,-122.148,1970,9451
7857000732,"20141101T000000",350000,3,1.75,2090,6258,1,0,0,3,7,1390,700,1956,0,98108,47.5503,-122.301,1790,5793
402000145,"20141028T000000",217000,2,1,970,5600,1,0,0,3,6,970,0,1951,0,98118,47.5297,-122.277,1020,5600
1226039130,"20141009T000000",355000,3,2.25,1980,7200,1,0,0,3,8,1300,680,1964,0,98177,47.7625,-122.36,1820,8250
1025039168,"20140923T000000",290000,1,0.75,740,1284,1,0,0,4,6,740,0,1928,0,98107,47.6741,-122.406,1430,3988
3438500037,"20150405T000000",545000,5,4,1680,7268,1,0,0,3,8,1370,310,2008,0,98106,47.5571,-122.356,2040,8259
5561400440,"20140827T000000",465000,4,2.5,3030,47958,1,0,0,3,8,1660,1370,1980,0,98027,47.4598,-122.004,2740,36017
